table_code,city,table_nbr,place_let,gender,pol_interest ,occupation,partic_past,responsabilite_pol ,grand_débat,rens_pre_eco ,rens_pre_dem ,rens_pre_fis ,rens_pre_etat ,theme,int_pre_eco ,int_pre_dem ,int_pre_fis ,int_pre_etat ,int_post_eco ,int_post_dem ,int_post_fis ,int_post_etat ,know_pre_eco ,know_pre_dem ,know_pre_fis ,know_pre_etat ,know_post_eco ,know_post_dem ,know_post_fis ,know_post_etat ,cx_pre_eco ,cx_pre_dem ,cx_pre_fis ,cx_pre_etat ,cx_post_eco ,cx_post_dem ,cx_post_fis ,cx_post_etat ,conf_trans_pre ,conf_trans_post ,conf_prise_pre ,conf_prise_post ,temps_exp_pre,oser_pre,ecoute_pre,perso_pre,sincere_pre,diff_op_pre,revendic_pre,diff_consensus_pre,change_avis_pre,respect_pre,concret_pre,discuss_pre,desaccord_aime_pre,desaccord_stimule_pre,homogen_pre,confiance_pre,temps_exp_post,oser_post,ecoute_post,perso_post,sincere_post,diff_op_post,revendic_post,diff_consensus_post,change_avis_post,respect_post,concret_post,discuss_post,desaccord_aime_post,desaccord_stimule_post,homogen_post,confiance_post,chgt_avis,deplu_quali,surplis_quali,sat_level_gen,sat_level_rythme,sat_level_exp,sat_level_info,sat_level_qual,doubl,appris,systematisation,double_answer,theme_diff,
POI13,poitiers,13,e,0,7,intermediaire,0,0,0,7,5,2,3,ESP,10,8,6,6,10,7,6,6,7,5,4,5,8,6,6,8,6,7,6,5,7,5,8,5,4,3,5,2,4,5,4,5,8,6,2,5,5,7,3,4,5,5,5,7,8,7,2,4,6,6,3,3,5,8,2,5,5,5,4,8,0,"gouvernement, manque, garantie, preposition, capacite","puissance, efficacite, collectif, intelligence",5,7,7,7,7,10,6,7,0,0,
POI14,poitiers,14,a,0,8,cadre,2,0,0,5,5,5,5,ESP,8,NA,NA,8,8,8,8,8,5,5,5,5,6,6,6,8,5,5,5,5,3,3,3,3,8,8,7,7,8,2,5,5,5,5,1,5,5,8,5,8,5,5,5,8,7,2,2,2,8,8,1,2,5,9,7,7,5,7,5,7,0,NA,"organisation, ecoute, respect",7,6,7,5,8,8,2,5,0,0,
POI14,poitiers,14,b,1,8,NA,0,0,0,0,0,0,0,ESP,7,7,8,8,4,4,7,9,5,5,5,5,5,5,5,6,2,4,5,8,5,5,5,5,3,5,0,2,8,9,2,7,9,NA,NA,NA,6,8,1,6,5,5,5,6,6,1,0,2,9,4,8,3,5,9,2,5,5,5,6,NA,0,"temps, court, debat","ecoute, participant",4,2,7,5,8,7,5,2,0,0,
POI14,poitiers,14,c,0,8,NA,0,0,0,4,0,10,0,ESP,5,8,10,6,5,6,10,6,5,6,9,4,4,3,8,5,10,9,10,8,3,4,4,7,3,3,2,1,5,2,6,8,5,3,4,9,5,8,5,10,2,9,0,4,10,8,7,6,NA,9,2,6,7,10,NA,10,0,8,2,0,0,"mot, impossible, sujet, bruit, ambiant, chomage","organisation, bon",8,3,9,8,8,8,7,10,0,0,
POI14,poitiers,14,d,1,5,cadre,2,0,0,8,4,8,3,ESP,10,9,8,7,10,9,8,9,8,5,3,3,8,7,6,8,8,8,8,8,9,9,9,9,3,8,4,6,8,3,2,3,6,7,2,3,7,4,8,2,8,2,7,10,8,0,1,3,9,6,5,5,5,9,7,10,1,9,3,5,0,"inutile, contrant, session, rendu, timing","ecoute, respect",9,8,8,7,9,8,7,10,0,0,
POI14,poitiers,14,e,0,8,artisan,0,0,0,10,5,8,5,ESP,10,5,10,7,10,5,7,7,10,5,7,5,8,5,6,5,8,6,8,8,8,6,8,6,8,6,5,5,7,0,3,6,8,8,5,10,5,8,2,10,0,10,2,7,10,0,7,5,8,3,0,3,5,10,3,10,3,9,3,8,0,NA,"debut, serein",6,7,8,7,8,6,5,7,0,0,
POI14,poitiers,14,f,1,8,NA,0,0,2,10,10,0,8,ESP,10,9,0,8,10,10,5,5,9,7,0,8,9,8,3,7,9,10,9,10,10,5,9,9,10,7,8,6,NA,NA,NA,NA,0,9,10,0,6,6,9,5,10,5,9,9,9,0,0,0,7,5,5,0,3,9,7,9,9,5,0,7,0,NA,"niveau, debat, qualite",9,9,7,7,8,10,8,10,0,0,
POI15,poitiers,15,a,0,7,cadre,0,0,2,5,5,5,5,ESP,9,9,9,9,10,10,10,10,5,5,5,5,6,6,6,6,5,5,5,5,6,6,6,6,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,0,7,9,4,5,1,4,10,1,5,5,5,5,5,0,"fait, doublon, sujet, arbitrage, choisi",ambiance,3,2,6,5,2,4,1,6,0,0,
POI15,poitiers,15,b,0,6,agriculteur,0,0,0,5,5,6,5,ESP,8,8,8,8,7,7,7,7,0,4,6,5,7,NA,7,7,5,5,6,5,8,8,8,8,6,8,6,8,9,0,0,0,0,9,0,9,0,9,9,9,0,9,0,9,8,0,0,0,0,NA,6,7,0,0,8,8,8,8,0,4,0,NA,"bon, ambiance",8,8,8,8,8,8,6,9,0,0,
POI15,poitiers,15,c,0,8,NA,0,0,0,0,0,0,0,ESP,7,9,NA,8,8,6,4,9,7,8,3,7,5,7,4,7,10,3,10,8,4,3,10,9,3,5,1,2,5,0,5,10,NA,5,5,3,10,10,0,0,10,0,8,0,3,0,6,8,9,0,0,0,0,9,0,10,0,10,2,2,0,"orientation, sujet, fait, question, seul, traite","table, membre, synthese",8,2,6,2,8,10,6,7,0,0,
